date,bullish,bearish,neutral,sentiment_index,sentiment_scaled,sentiment_smoothed
2008-08-04,1.1247503e-08,3.052849e-08,1.0,-1.9280986e-08,0.5,-0.5770952282396357
2008-08-08,0.029764732,0.97022545,9.861768e-06,-0.94046074,0.02976963,-0.5686790098226042
2008-08-13,0.8848799,0.11412485,0.0009952496,0.77075505,0.8853775,-0.3157143599409688
2008-08-14,0.053867586,0.8882467,0.057885673,-0.83437914,0.08281043,-0.2920552243268461
2008-08-19,8.6181484e-05,0.9999129,8.669838e-07,-0.9998267,8.663535e-05,-0.42906072695101727
2008-08-26,0.00016795835,0.5001508,0.49968123,-0.49998283,0.25000858,-0.3576995854055853
2008-08-27,0.0017140608,0.99144626,0.0068396796,-0.9897322,0.005133897,-0.4990895162606347
2008-08-28,1.8129162e-05,0.99998,1.925687e-06,-0.99996185,1.9073486e-05,-0.6419412067958287
2008-09-03,0.99999666,3.9798854e-07,3.0366566e-06,0.99999624,0.9999981,-0.3647330658776419
2008-09-09,1.7213844e-05,0.9996439,0.00033888506,-0.9996267,0.00018665195,-0.6176447442599705
2008-09-10,1.606153e-05,0.99998355,3.195459e-07,-0.9999675,1.6242266e-05,-0.6413002269608634
2008-09-11,0.0016485844,0.9983334,1.8147048e-05,-0.9966848,0.0016576052,-0.6408513784408569
2008-09-15,0.9996991,0.00028970925,1.124996e-05,0.9994094,0.9997047,-0.4266524910926819
2008-09-16,0.97792804,0.014805405,0.0072665634,0.9631226,0.9815613,-0.14767323221479142
2008-09-17,0.9994659,0.00053300214,1.0400344e-06,0.9989329,0.9994664,0.13788316079548427
2008-09-19,0.0010910091,0.99608505,0.0028239368,-0.99499404,0.0025029778,-0.14711545194898332
2008-09-24,0.005299549,0.95788634,0.036814135,-0.95258677,0.023706615,-0.14039546251296997
2008-09-26,0.00014472079,0.99984133,1.3964148e-05,-0.9996966,0.00015169382,-0.14035676206861222
2008-09-29,0.70555097,0.2943852,6.383025e-05,0.4111658,0.7055829,0.06076475126402719
2008-10-01,0.010726663,0.9891082,0.0001650169,-0.9783815,0.010809243,-0.22177680475371225
2008-10-06,0.00016707007,0.99982506,7.900856e-06,-0.999658,0.00017100573,-0.5021740325859615
2008-10-07,0.9160427,0.083910026,4.7239082e-05,0.83213264,0.9160663,-0.5260026412350791
2008-10-13,0.99999976,1.378168e-07,6.4123164e-08,0.99999964,0.9999998,-0.24100354313850403
2008-10-15,0.000328002,0.99953216,0.00013979049,-0.99920416,0.0003979206,-0.24766317009925842
2008-10-17,0.010605622,0.9665739,0.022820516,-0.95596826,0.02201587,-0.24141626272882735
2008-10-20,0.0051377052,0.9948566,5.7250522e-06,-0.9897189,0.005140543,-0.44154265097209383
2008-10-21,3.4501933e-05,0.9999598,5.6882786e-06,-0.9999253,3.734231e-05,-0.4446203368050711
2008-10-23,0.49997684,0.5000221,9.856392e-07,-4.5269728e-05,0.49997735,-0.30181851983070374
2008-10-24,0.4999848,0.5000041,1.1116295e-05,-1.9282103e-05,0.49999034,-0.42069736548832487
2008-10-29,0.05559969,0.94436955,3.074571e-05,-0.88876987,0.055615067,-0.6905215808323452
2008-10-30,0.4911224,0.50885636,2.126828e-05,-0.017733932,0.49113303,-0.5503115483692714
2008-11-03,0.4525456,0.21424602,0.33320832,0.23829961,0.6191498,-0.3797018527984619
2008-11-04,8.768168e-06,0.9999902,9.1939967e-07,-0.99998146,9.268522e-06,-0.3811679312161037
2008-11-05,1.8551499e-06,0.99999523,2.8952404e-06,-0.9999934,3.3080578e-06,-0.38117765528815134
2008-11-07,0.0009373555,0.9989686,9.408294e-05,-0.99803126,0.0009843707,-0.5237470822674888
2008-11-10,0.00068784883,0.99513763,0.004174572,-0.9944498,0.0027751029,-0.6658085840088981
2008-11-11,0.5913479,0.066556424,0.34209567,0.5247915,0.76239574,-0.463871249130794
2008-11-17,0.99887407,0.00036419698,0.00076174317,0.9985099,0.99925494,-0.3186935612133571
2008-11-21,0.0001742536,0.9998254,3.8551363e-07,-0.9996512,0.00017440319,-0.4955436757632664
2008-11-24,1.05391784e-07,2.510866e-06,0.9999974,-2.405474e-06,0.4999988,-0.3526895246944995
2008-11-26,1.1459204e-05,0.9997266,0.00026196692,-0.99971515,0.0001424253,-0.35264977691138355
2008-12-01,0.011087363,0.98887897,3.361114e-05,-0.9777916,0.011104196,-0.3497583981680756
2008-12-02,5.632908e-05,0.99994206,1.5369297e-06,-0.99988574,5.7131052e-05,-0.3505349615400064
2008-12-03,6.851075e-08,2.1023382e-06,0.99999785,-2.0338275e-06,0.499999,-0.4255054633883252
2008-12-04,0.99999845,1.2039784e-07,1.4721609e-06,0.99999833,0.99999917,-0.42529282807556357
2008-12-09,0.99256915,0.00048597198,0.0069449283,0.9920832,0.9960416,-0.14075934443407537
