date,bullish,bearish,neutral,sentiment_index,sentiment_scaled,sentiment_smoothed_7d,sentiment_smoothed_30d
2018-01-20,0.000106988016,0.9998921,8.4018296e-07,-0.9997851,0.00010743737,0.25057967220033917,0.2895431607961655
2018-01-21,0.20571613,0.787136,0.0071478365,-0.5814199,0.20929006,0.2458995452948979,0.2882346580425898
2018-01-22,0.20373048,0.6869875,0.10928203,-0.48325706,0.25837147,0.23203897050448827,0.28544100125630695
2018-01-23,0.20746791,0.6129008,0.1796313,-0.40543288,0.29728356,0.22705080679484776,0.28622547884782157
2018-01-24,0.24629791,0.62273985,0.13096224,-0.37644196,0.31177902,0.23146423271724156,0.2876141349474589
2018-01-25,0.091755055,0.6951691,0.21307589,-0.60341406,0.19829297,0.21429706471306936,0.28641373217105864
2018-01-26,0.22867951,0.6423072,0.12901326,-0.4136277,0.29318613,0.22404437831469945,0.28963320751984917
2018-01-28,0.16630244,0.832864,0.00083354104,-0.66656154,0.16671923,0.2478460626942771,0.2868175407250722
2018-01-29,0.14890875,0.6902036,0.16088758,-0.5412949,0.22935256,0.2507121350084032,0.29029127657413484
2018-01-30,0.20704514,0.66690594,0.12604898,-0.4598608,0.2700696,0.25238329597881864,0.2911075741052628
2018-01-31,0.22370733,0.6690306,0.10726207,-0.4453233,0.27733836,0.2495339810848236,0.286641655365626
2018-02-01,0.14954928,0.7034016,0.14704914,-0.5538523,0.22307384,0.23686181221689498,0.2829501092433929
2018-02-02,0.28358552,0.51667565,0.19973882,-0.23309013,0.38345492,0.26331351910318646,0.28419820765654247
2018-02-03,0.20291755,0.6015436,0.19553885,-0.39862606,0.30068696,0.2643850658621107,0.28490900695323945
2018-02-04,0.13317451,0.7922984,0.07452716,-0.6591239,0.17043805,0.26491632631846834,0.2807211607694626
2018-02-05,0.35959712,0.5742863,0.0661166,-0.21468917,0.39265543,0.2882453075477055,0.28498038550217947
2018-02-06,0.25321987,0.61534196,0.13143817,-0.3621221,0.31893897,0.29522664632116047,0.28131841321786244
2018-02-07,0.34011152,0.3914779,0.2684106,-0.05136639,0.4743168,0.32336642486708506,0.2850093106428782
2018-02-08,0.21050224,0.6752495,0.11424821,-0.46474728,0.26762635,0.32973106844084604,0.27823571463425956
2018-02-09,0.43621257,0.511217,0.05257039,-0.07500443,0.46249777,0.3410229044301169,0.28346828122933704
2018-02-10,0.40791267,0.5415606,0.0505267,-0.13364792,0.43317604,0.35994991660118103,0.28780479629834493
2018-02-12,0.23294084,0.62405175,0.1430074,-0.3911109,0.30444455,0.37909370235034395,0.2871480981508891
2018-02-13,0.002955597,0.66343313,0.33361137,-0.6604775,0.16976124,0.3472516749586378,0.28162000477314
2018-02-14,0.28893858,0.6307023,0.08035914,-0.34176373,0.32911813,0.34870584096227375,0.2831976572672526
2018-02-15,0.03779495,0.17490172,0.78730327,-0.13710678,0.4314466,0.34258152757372173,0.2895108461380005
2018-02-16,0.24822678,0.7138045,0.03796872,-0.46557772,0.26721114,0.342522212437221,0.2865713675816854
2018-02-19,0.19830696,0.66712815,0.13456488,-0.46882117,0.26558942,0.31439244747161865,0.2843509912490845
2018-02-20,0.29871997,0.60783213,0.093447916,-0.30911216,0.3454439,0.30185928515025545,0.2865029533704122
2018-02-21,0.28654608,0.6796761,0.033777755,-0.39313003,0.30343497,0.30171505893979755,0.2860020140806834
2018-02-22,0.37304652,0.59376,0.033193436,-0.2207135,0.38964325,0.33312677485602243,0.29149162471294404
2018-02-23,0.1496731,0.65599376,0.19433314,-0.50632066,0.24683967,0.321372709103993,0.2997160325447718
2018-02-25,0.43534476,0.56451976,0.00013550323,-0.129175,0.4354125,0.321939264025007,0.30725344717502595
2018-02-26,0.21438754,0.5742316,0.21138085,-0.3598441,0.32007796,0.3294916663851057,0.30931032995382945
2018-02-27,0.26429263,0.57161075,0.16409662,-0.30731812,0.34634095,0.3410276004246303,0.31094557642936704
2018-02-28,0.21937265,0.64120495,0.1394224,-0.42183232,0.28908384,0.33297616243362427,0.3101890703042348
2018-03-01,0.23915972,0.54192996,0.21891028,-0.30277026,0.34861487,0.33943043436322895,0.3151998003323873
2018-03-02,0.13500829,0.7399666,0.12502508,-0.6049583,0.19752085,0.3119843772479466,0.31201095779736837
2018-03-03,0.23546736,0.5218103,0.24272236,-0.28634292,0.35682854,0.32769707271030973,0.3183479348818461
2018-03-04,0.25926393,0.6823287,0.058407344,-0.42306477,0.28846762,0.3067049469266619,0.3203184366226196
2018-03-05,0.21582493,0.658243,0.12593213,-0.44241807,0.27879095,0.30080680336271015,0.32060914834340415
2018-03-06,0.19439249,0.72608393,0.07952356,-0.53169143,0.23415428,0.28478013617651804,0.3191696792840958
2018-03-07,0.19986446,0.72842485,0.07171076,-0.5285604,0.2357198,0.2771567021097456,0.3195912112792333
2018-03-08,0.19186272,0.62809414,0.18004313,-0.43623143,0.28188428,0.2676237608705248,0.3162055234114329
