date,bullish,bearish,neutral,sentiment_index,sentiment_scaled,sentiment_smoothed_7d,sentiment_smoothed_30d
2008-07-02,0.8649052,0.13131367,0.0037811555,0.7335915,0.8667958,0.5872859316212791,0.5133899986743927
2008-07-07,0.00011000194,0.0011732443,0.99871683,-0.0010632423,0.4994684,0.5872099101543427,0.4967268705368042
2008-07-09,0.00031223267,0.9996865,1.2529359e-06,-0.9993743,0.00031286478,0.445916690996715,0.48851030866305034
2008-07-14,8.3896225e-07,0.99999833,8.1034773e-07,-0.9999975,1.2516975e-06,0.37489729268210276,0.48837429483731587
2008-07-23,2.1633948e-06,0.99999523,2.6369612e-06,-0.9999931,3.4570694e-06,0.23205345017569406,0.45504195292790733
2008-07-29,0.11663095,0.15741916,0.7259499,-0.04078821,0.47960588,0.2638771746839796,0.45448723435401917
2008-07-31,0.00023887059,0.9997497,1.1400432e-05,-0.9995108,0.00024458766,0.26377602985927034,0.45449316600958506
2008-08-01,8.34337e-07,3.5242194e-06,0.9999956,-2.6898824e-06,0.49999866,0.21137644137654985,0.46282636125882465
2008-08-04,1.1247503e-08,3.052849e-08,1.0,-1.9280986e-08,0.5,0.21145238620894297,0.4794809957345327
2008-08-08,0.029764732,0.97022545,9.861768e-06,-0.94046074,0.02976963,0.21566049541745866,0.44714015622933706
2008-08-13,0.8848799,0.11412485,0.0009952496,0.77075505,0.8853775,0.34214282035827637,0.4433194249868393
2008-08-14,0.053867586,0.8882467,0.057885673,-0.83437914,0.08281043,0.3539723881653377,0.44607972304026283
2008-08-19,8.6181484e-05,0.9999129,8.669838e-07,-0.9998267,8.663535e-05,0.2854696384498051,0.4452410747607549
2008-08-26,0.00016795835,0.5001508,0.49968123,-0.49998283,0.25000858,0.3211502092225211,0.4369230737288793
2008-08-27,0.0017140608,0.99144626,0.0068396796,-0.9897322,0.005133897,0.25045524324689594,0.42785797218481697
2008-08-28,1.8129162e-05,0.99998,1.925687e-06,-0.99996185,1.9073486e-05,0.17902939660208567,0.39452605148156483
2008-09-03,0.99999666,3.9798854e-07,3.0366566e-06,0.99999624,0.9999981,0.3176334628037044,0.4111385295788447
2008-09-09,1.7213844e-05,0.9996439,0.00033888506,-0.9996267,0.00018665195,0.19117762361254012,0.37803745865821836
2008-09-10,1.606153e-05,0.99998355,3.195459e-07,-0.9999675,1.6242266e-05,0.17934988226209367,0.36145054002602894
2008-09-11,0.0016485844,0.9983334,1.8147048e-05,-0.9966848,0.0016576052,0.1795743065220969,0.36150467693805693
2008-09-15,0.9996991,0.00028970925,1.124996e-05,0.9994094,0.9997047,0.28667375445365906,0.3948280523220698
2008-09-16,0.97792804,0.014805405,0.0072665634,0.96312267,0.9815613,0.4261633838926043,0.39422119756539664
2008-09-17,0.9994659,0.00053300214,1.0400344e-06,0.9989329,0.9994664,0.5689415761402675,0.3942144463459651
2008-09-19,0.0010910091,0.99608505,0.0028239368,-0.99499404,0.0025029778,0.4264422740255083,0.37763121326764426
2008-09-24,0.005299549,0.95788634,0.036814135,-0.95258677,0.023706615,0.429802268743515,0.36175474921862283
2008-09-26,0.00014472079,0.99984133,1.3964148e-05,-0.9996966,0.00015169382,0.4298216189656939,0.32878095904986065
2008-09-29,0.70555097,0.2943852,6.383025e-05,0.41116577,0.70558286,0.5303823692458016,0.33572915295759836
2008-10-01,0.010726663,0.9891082,0.0001650169,-0.9783815,0.010809243,0.3891115869794573,0.3027591158946355
2008-10-06,0.00016707007,0.99982506,7.900856e-06,-0.999658,0.00017100573,0.24891297306333268,0.29420348902543386
2008-10-07,0.9160427,0.083910026,4.7239082e-05,0.83213264,0.9160663,0.2369986687387739,0.32470727860927584
2008-10-13,0.99999976,1.378168e-07,6.4123164e-08,0.99999964,0.9999998,0.37949821778706144,0.32914741337299347
2008-10-15,0.000328002,0.99953216,0.00013979049,-0.99920416,0.0003979206,0.37616840430668425,0.31251173118750253
2008-10-17,0.010605622,0.9665739,0.022820516,-0.95596826,0.02201587,0.37929185799189974,0.3132351646820704
2008-10-20,0.0051377052,0.9948566,5.7250522e-06,-0.9897189,0.005140543,0.27922867025647846,0.31340647439161934
2008-10-21,3.4501933e-05,0.9999598,5.6882786e-06,-0.9999253,3.734231e-05,0.2776898273399898,0.31340760389963784
2008-10-23,0.49997684,0.5000221,9.856392e-07,-4.5269728e-05,0.49997735,0.3490907336984362,0.3140866527954737
2008-10-24,0.4999848,0.5000041,1.1116295e-05,-1.9311905e-05,0.49999034,0.28965131299836294,0.3307448446750641
2008-10-29,0.05559969,0.94436955,3.074571e-05,-0.88876987,0.055615067,0.1547392053263528,0.3159320582946142
2008-10-30,0.4911224,0.50885636,2.126828e-05,-0.017733961,0.49113303,0.22484422155788966,0.3156364927689234
2008-11-03,0.4525456,0.21424602,0.33320832,0.2382996,0.6191498,0.3101490693432944,0.3352824985980988
2008-11-04,8.768168e-06,0.9999902,9.1939967e-07,-0.99998146,9.268522e-06,0.30941603013447355,0.3057702233393987
2008-11-05,1.8551499e-06,0.99999523,2.8952404e-06,-0.9999934,3.3080578e-06,0.3094111680984497,0.30300998588403066
2008-11-07,0.0009373555,0.9989686,9.408294e-05,-0.99803126,0.0009843707,0.2381264567375183,0.30303991039594014
2008-11-10,0.00068784883,0.99513763,0.004174572,-0.9944498,0.0027751029,0.16709570799555098,0.29479879438877105
2008-11-11,0.5913479,0.066556424,0.34209567,0.5247915,0.76239574,0.268064375434603,0.3200408558050791
2008-11-17,0.99887407,0.00036419698,0.00076174317,0.9985099,0.99925494,0.34065321939332144,0.35334871808687845
2008-11-21,0.0001742536,0.9998254,3.8551363e-07,-0.9996512,0.00017440319,0.2522281621183668,0.32002126177151996
2008-11-24,1.05391784e-07,2.510866e-06,0.9999974,-2.405474e-06,0.4999988,0.3236552391733442,0.336681666970253
2008-11-26,1.1459204e-05,0.9997266,0.00026196692,-0.99971515,0.0001424253,0.32367511306490215,0.3366858730713526
2008-12-01,0.011087363,0.98887897,3.361114e-05,-0.9777916,0.011104196,0.3251208024365561,0.3370007594426473
2008-12-02,5.632908e-05,0.99994206,1.5369297e-06,-0.99988574,5.7131052e-05,0.3247325207505907,0.30367917319138843
2008-12-03,6.851075e-08,2.1023382e-06,0.99999785,-2.0338275e-06,0.499999,0.28724727034568787,0.28762709597746533
2008-12-04,0.99999845,1.2039784e-07,1.4721609e-06,0.99999833,0.99999917,0.28735358800206867,0.28764485418796537
2008-12-09,0.99256915,0.00048597198,0.0069449283,0.9920832,0.9960416,0.4296203298228128,0.32076280812422436
2008-12-11,0.002576061,0.49748492,0.49993902,-0.49490887,0.25254557,0.3942698666027614,0.3283907731374105
